from_loc,to_loc,vehicle,weather,hour,dow,demand,distance_km,price
Jatrabari,Rajlakshmi,Car,Regular,3,0,0.37,25.4,1082.0
MES,Asad Gate,Car,Sunny,11,0,0.8,9.0,381.0
Tikatuli,Dhanmondi 15/32,Bike,Sunny,10,2,0.79,7.7,262.0
Asad Gate,Mirpur 12,Car,Rainy,11,4,0.72,10.4,542.0
Gulshan 2,Shishu Mela,CNG,Sunny,23,4,0.57,8.3,352.0
Kochukhet,College Gate,Bike,Regular,1,2,0.15,6.6,172.0
Mirpur 11,Kochukhet,Rickshaw,Sunny,19,0,0.15,4.9,151.0
Jahangir Gate,Karwan Bazar,Bike,Rainy,19,0,0.49,4.3,224.0
Azimpur / Palashi,Dhanmondi 15/32,Rickshaw,Regular,14,4,0.13,2.8,79.0
Karwan Bazar,Bangla Motor,Car,Sunny,9,6,0.22,0.9,125.0
Middle Badda,Asad Gate,Car,Regular,1,5,0.7,10.2,492.0
Kalyanpur,Jahangir Gate,Bus,Rainy,12,3,0.198,2.5,24.0
Karwan Bazar,Jahangir Gate,Bus,Regular,14,1,0.168,4.3,29.0
Nadda,Shahjahanpur,CNG,Rainy,18,6,1.0,8.5,740.0
Malibagh Railgate,Kalyanpur,Car,Rainy,20,6,0.98,9.9,919.0
Sainik Club / Banani Railgate,Pallabi,Car,Sunny,14,1,0.89,6.7,325.0
Tikatuli,Mirpur 10,Bike,Sunny,1,1,0.52,14.6,322.0
Darussalam,Gulistan,Bike,Sunny,3,5,0.94,11.6,274.0
Sayedabad Bus Terminal,Badda Link Road,CNG,Sunny,20,4,0.73,10.1,559.0
Azampur,Gulshan 1,CNG,Sunny,15,0,0.11,15.2,578.0
Rampura Bridge,College Gate,Car,Sunny,21,2,0.84,9.1,379.0
Shyamoli,Mirpur 1,Car,Sunny,10,0,0.6,4.0,308.0
Shahjahanpur,Middle Badda,Bike,Rainy,21,3,0.27,5.3,182.0
Karwan Bazar,Gulistan,CNG,Sunny,8,0,0.64,5.2,358.0
Mirpur 14,Maniknagar,Bike,Sunny,3,0,0.21,17.8,376.0
Kalabagan,Rajlakshmi,CNG,Rainy,5,4,0.8,19.4,1012.0
Chandpur,Khilkhet,CNG,Regular,23,3,0.68,95.9,4075.0
Jagannath University,Jatrabari,Car,Sunny,11,4,0.92,4.3,195.0
Matsya Bhaban,Jashimuddin (Uttara),Bus,Sunny,7,2,0.20400000000000001,19.1,89.0
Mirpur 12,Amtoli (Mohakhali),CNG,Regular,9,2,0.36,8.9,593.0
Kochukhet,Kalyanpur,Car,Sunny,16,1,0.28,5.7,241.0
Shahbagh,Paltan,Bus,Regular,23,2,0.111,3.0,29.0
Mirpur 10,Jahangir Gate,Car,Sunny,10,4,0.28,4.6,297.0
Dhanmondi 15/32,Shahbagh,Bus,Stormy,20,1,0.126,3.2,40.0
Kuril / Kuratoli (AIUB),Kakali (Banani),CNG,Sunny,20,0,0.9,4.7,348.0
Shyamoli,Kalyanpur,Car,Rainy,18,0,0.8,1.1,191.0
Malibagh Chowdhury Para,Naya Bazar,Bus,Sunny,16,1,0.282,6.3,48.0
Gulshan 2,Amtoli (Mohakhali),Rickshaw,Stormy,9,0,0.66,2.1,169.0
Mazar Road,Shishu Mela,CNG,Regular,13,0,0.33,3.9,202.0
Mohakhali Bus Terminal,Ray Saheb Bazar,CNG,Sunny,17,0,0.19,10.2,620.0
Kalabagan,Bangla Motor,Bus,Rainy,4,5,0.297,2.1,32.0
Kakali (Banani),Shahjahanpur,Bike,Sunny,2,5,0.29,7.0,163.0
Naya Bazar,Shahjahanpur,Bike,Sunny,2,5,0.56,5.0,143.0
City College / Science Lab,Rampura Bridge,Bus,Sunny,22,0,0.036,7.7,45.0
Gulistan,MES,Bike,Sunny,12,5,0.53,12.9,253.0
Chairman Bari,Badda Link Road,Car,Sunny,1,4,0.55,4.6,214.0
Pallabi,Rampura Bridge,Car,Regular,23,4,0.41,12.6,512.0
Technical,Shyamoli,Rickshaw,Rainy,16,3,0.64,1.8,92.0
Kalabagan,Sainik Club / Banani Railgate,Bus,Rainy,17,2,0.22799999999999998,8.8,85.0
Naya Bazar,Khilgaon Flyover,Bike,Sunny,8,2,0.87,5.3,197.0
Mirpur 14,House Building,Bike,Regular,18,1,0.11,9.1,318.0
Middle Badda,Jashimuddin (Uttara),Bike,Sunny,7,4,0.5,14.4,259.0
Maniknagar,Airport,CNG,Sunny,10,6,0.15,19.2,1098.0
Notun Bazar,Gulistan,Bike,Sunny,6,0,0.53,10.8,247.0
Mugda,Cantonment (Radisson),Bike,Regular,23,1,0.63,12.1,291.0
Mugda,House Building,Bus,Regular,21,2,0.066,23.8,111.0
Rampura Bridge,Rajarbagh,CNG,Sunny,8,6,0.52,3.5,254.0
Rajlakshmi,Rampura Bridge,Bike,Rainy,1,2,0.57,17.6,503.0
Nadda,Mirpur 12,Bike,Stormy,19,3,0.68,9.6,507.0
Malibagh Railgate,Agargaon (IDB Bhaban),CNG,Stormy,17,3,0.17,7.6,765.0
MES,Jashimuddin (Uttara),Car,Regular,10,6,0.82,8.7,645.0
Ray Saheb Bazar,Shahbagh,Bus,Sunny,8,2,0.129,4.4,42.0
Tikatuli,Rajlakshmi,Bike,Rainy,18,1,0.98,22.7,918.0
Chairman Bari,Abdullahpur,CNG,Rainy,7,1,0.94,15.6,848.0
Sainik Club / Banani Railgate,Naya Bazar,CNG,Sunny,10,4,0.14,11.7,630.0
Technical,Gulistan,Car,Sunny,1,0,0.11,11.1,464.0
Shyamoli,Maniknagar,Bus,Regular,19,6,0.252,12.9,90.0
Bashundhara / Jamuna FP,Azampur,Bike,Rainy,5,0,0.23,11.2,331.0
Rampura Bridge,Bashundhara / Jamuna FP,Bus,Regular,18,2,0.17099999999999999,7.6,66.0
Maniknagar,Airport,CNG,Sunny,21,2,0.66,19.2,734.0
New Market / Nilkhet,Middle Badda,Bike,Sunny,12,4,0.1,10.3,189.0
Sainik Club / Banani Railgate,MES,Bus,Sunny,17,6,0.056999999999999995,2.4,15.0
Azimpur / Palashi,Notun Bazar,Bus,Regular,22,2,0.072,12.4,78.0
Ray Saheb Bazar,Airport,CNG,Sunny,16,0,0.83,19.7,750.0
Shyamoli,Abul Hotel,CNG,Sunny,18,4,0.54,9.8,548.0
High Court,Rajlakshmi,Bus,Stormy,23,4,0.06,20.7,102.0
Kamalapur,Badda,Car,Regular,7,5,0.42,8.4,387.0
Kuril / Kuratoli (AIUB),City College / Science Lab,Car,Sunny,16,0,0.55,13.4,535.0
Shahjahanpur,Dhanmondi 27,CNG,Sunny,19,5,0.36,6.9,430.0
Asad Gate,Jagannath University,CNG,Sunny,1,6,0.15,9.3,400.0
Dhanmondi 27,Mirpur 14,Bike,Regular,9,0,0.57,10.7,371.0
Shahbagh,Kalyanpur,CNG,Regular,19,1,0.21,7.3,501.0
Mirpur 2,Gulshan 1,Bus,Rainy,21,2,0.084,6.9,50.0
Malibagh Chowdhury Para,Middle Badda,Car,Sunny,14,4,0.59,4.2,186.0
New Market / Nilkhet,Karwan Bazar,Car,Rainy,10,3,0.43,3.4,367.0
Khilgaon Flyover,Naya Bazar,Car,Rainy,22,5,0.56,5.3,355.0
Malibagh Railgate,Mirpur 2,Bus,Regular,20,6,0.048,10.9,76.0
Kuril / Kuratoli (AIUB),Darussalam,Bus,Sunny,17,6,0.132,10.1,68.0
Shahjahanpur,Shahbagh,CNG,Regular,17,0,0.51,3.5,267.0
Amtoli (Mohakhali),Mugda,Car,Rainy,11,4,0.4,8.9,460.0
Kamalapur,Ray Saheb Bazar,Bus,Sunny,13,5,0.111,3.6,42.0
Mugda,Abdullahpur,Bike,Sunny,23,5,0.8,25.4,521.0
Jashimuddin (Uttara),Mirpur 11,Bike,Rainy,10,3,0.65,9.1,410.0
Kochukhet,Airport,CNG,Stormy,21,1,0.18,7.3,484.0
Jashimuddin (Uttara),Khilgaon Flyover,Bike,Rainy,20,3,0.42,18.7,746.0
Maniknagar,New Market / Nilkhet,Bike,Sunny,6,6,0.44,7.7,173.0
Satrasta,Farmgate,Bus,Sunny,20,1,0.288,1.0,22.0
Rajlakshmi,Kamalapur,Bus,Sunny,11,6,0.135,21.3,90.0
Kamalapur,Jashimuddin (Uttara),CNG,Sunny,1,1,0.76,20.5,828.0
Shahjahanpur,Azimpur / Palashi,Car,Regular,15,4,0.82,5.3,245.0
Nadda,Satrasta,Car,Sunny,3,2,0.13,8.1,355.0
Abdullahpur,High Court,Bike,Regular,21,2,0.27,23.6,486.0
Chandpur,Dhanmondi 27,Car,Sunny,11,4,0.95,86.8,2798.0
Tikatuli,Gulshan 2,Bike,Regular,9,1,0.97,10.4,374.0
Mugda,Bashundhara / Jamuna FP,Car,Sunny,19,0,0.5,12.3,809.0
Matsya Bhaban,Mirpur 14,CNG,Stormy,17,0,0.36,12.6,1240.0
Sainik Club / Banani Railgate,Khilkhet,Car,Rainy,6,2,0.67,5.7,367.0
Sainik Club / Banani Railgate,Karwan Bazar,CNG,Sunny,7,1,0.57,6.7,285.0
Cantonment (Radisson),Dhanmondi 15/32,CNG,Sunny,16,4,0.61,9.2,350.0
Shyamoli,Jahangir Gate,Bike,Rainy,18,0,0.42,2.7,161.0
Khilgaon Flyover,Malibagh Railgate,Rickshaw,Stormy,2,2,0.52,0.6,77.0
College Gate,Jagannath University,Bus,Stormy,11,2,0.20400000000000001,9.8,68.0
Mirpur 12,Kalabagan,CNG,Stormy,0,1,0.74,12.6,887.0
Malibagh Chowdhury Para,Kamalapur,Car,Regular,9,5,0.97,3.3,286.0
Asad Gate,Shahbagh,Rickshaw,Regular,16,1,0.52,4.7,160.0
Abdullahpur,Darussalam,Car,Regular,7,6,0.15,15.9,667.0
Airport,Gulshan 1,Car,Regular,22,4,0.62,9.4,392.0
Dhanmondi 27,Maniknagar,CNG,Regular,18,2,0.9,10.6,717.0
Mazar Road,Farmgate,CNG,Rainy,21,5,0.68,6.0,381.0
Kalabagan,Press Club,Rickshaw,Stormy,15,5,0.55,4.8,208.0
Gulistan,Kakali (Banani),Bus,Rainy,16,6,0.084,10.3,43.0
Mohakhali Bus Terminal,Azimpur / Palashi,Bus,Rainy,6,1,0.24599999999999997,7.8,56.0
Matsya Bhaban,Asad Gate,Rickshaw,Sunny,17,0,0.34,5.0,168.0
Gulistan,Rajarbagh,Rickshaw,Regular,5,2,0.7,2.8,124.0
Dhanmondi 27,Sainik Club / Banani Railgate,Car,Rainy,13,6,0.23,8.6,489.0
Kochukhet,Mazar Road,Rickshaw,Rainy,5,3,0.41,4.5,203.0
Badda,Technical,Bike,Regular,17,4,0.58,11.2,337.0
Kalyanpur,Mirpur 1,Car,Stormy,22,1,0.5,3.0,262.0
Cantonment (Radisson),High Court,Bus,Regular,7,5,0.23099999999999998,10.1,73.0
Satrasta,Nadda,Car,Regular,18,2,0.97,8.1,613.0
Kalabagan,MES,Car,Regular,16,0,0.64,10.4,462.0
Asad Gate,Rajlakshmi,Bike,Rainy,6,0,0.99,17.4,468.0
Shishu Mela,Rampura Bridge,Car,Rainy,6,0,0.86,9.3,548.0
Kochukhet,Chandpur,CNG,Sunny,12,6,0.75,91.6,3259.0
Mirpur 11,Middle Badda,CNG,Stormy,20,3,0.76,11.1,1100.0
Kochukhet,Khilgaon Flyover,CNG,Rainy,8,5,0.2,8.5,719.0
Jahangir Gate,Ray Saheb Bazar,Car,Regular,18,3,0.27,10.7,762.0
Shishu Mela,Bangla Motor,CNG,Sunny,6,0,0.18,4.7,210.0
Notun Bazar,Rajarbagh,Bus,Rainy,0,4,0.162,8.2,76.0
Mirpur 10,Kalabagan,Car,Rainy,13,6,0.43,9.7,541.0
Maniknagar,Jatrabari,Bus,Rainy,20,4,0.207,1.5,21.0
Azampur,College Gate,Bus,Regular,23,3,0.201,17.8,106.0
Khilgaon Flyover,Sayedabad Bus Terminal,Rickshaw,Rainy,1,6,0.89,4.4,200.0
House Building,Jashimuddin (Uttara),Car,Sunny,16,5,0.45,3.1,167.0
Satrasta,New Market / Nilkhet,CNG,Regular,19,2,0.57,5.1,379.0
Gulshan 2,Badda Link Road,Car,Rainy,3,3,0.38,3.6,270.0
Mirpur 14,City College / Science Lab,CNG,Rainy,2,1,0.79,12.1,731.0
Sainik Club / Banani Railgate,Shahbagh,Bike,Rainy,10,3,0.6,8.6,381.0
Gulshan 1,Gulistan,CNG,Sunny,1,5,0.3,8.3,382.0
Amtoli (Mohakhali),Gulistan,Car,Sunny,10,6,0.34,8.5,563.0
Shishu Mela,New Market / Nilkhet,Bike,Sunny,17,1,0.39,5.7,203.0
Tikatuli,Chairman Bari,Bike,Sunny,9,4,0.37,10.1,271.0
Tikatuli,Kuril / Kuratoli (AIUB),CNG,Rainy,23,3,0.4,14.3,850.0
Khilkhet,Bashundhara / Jamuna FP,Bike,Rainy,0,5,0.89,3.2,165.0
Jashimuddin (Uttara),Asad Gate,Bike,Sunny,5,5,0.89,17.1,379.0
Badda Link Road,City College / Science Lab,Car,Sunny,4,0,0.11,10.4,425.0
Amtoli (Mohakhali),Sayedabad Bus Terminal,Bus,Rainy,9,5,0.141,10.2,66.0
Mohakhali Bus Terminal,Paltan,Bike,Rainy,18,0,0.42,7.2,325.0
Naya Bazar,Mirpur 14,Bus,Sunny,21,1,0.261,16.1,88.0
Jagannath University,Gulshan 2,Bus,Regular,3,3,0.273,13.1,84.0
Khilkhet,Notun Bazar,Bus,Sunny,6,0,0.072,7.6,40.0
MES,Kamalapur,CNG,Regular,18,4,0.9,11.9,728.0
Mirpur 14,Darussalam,CNG,Stormy,14,3,0.1,5.4,383.0
Gulshan 2,Jashimuddin (Uttara),Bus,Rainy,12,0,0.078,11.5,62.0
MES,Press Club,Bike,Sunny,2,0,0.87,12.0,283.0
Rajarbagh,Mirpur 11,Bike,Rainy,14,6,1.0,14.2,398.0
Mirpur 2,Nabisco,Bus,Regular,8,5,0.186,5.8,55.0
Mirpur 1,Shahjahanpur,Bus,Sunny,0,2,0.192,10.0,80.0
Shahbagh,Bangla Motor,CNG,Rainy,3,4,0.88,1.2,150.0
Mazar Road,City College / Science Lab,Bike,Sunny,17,1,0.15,7.9,248.0
Mirpur 10,Merul Badda,Bus,Sunny,19,1,0.24,10.2,54.0
High Court,Azimpur / Palashi,Rickshaw,Regular,9,5,0.21,3.0,129.0
Merul Badda,Ray Saheb Bazar,CNG,Sunny,16,1,0.15,10.6,409.0
Malibagh Railgate,Ray Saheb Bazar,Bike,Sunny,16,6,0.96,6.4,163.0
Jagannath University,Maniknagar,Bus,Stormy,2,0,0.24899999999999997,5.0,54.0
Chandpur,Gulshan 2,Bike,Stormy,21,5,0.31,90.4,2590.0
Middle Badda,Jagannath University,CNG,Sunny,17,4,0.45,11.8,632.0
Chairman Bari,Khilgaon Flyover,Bike,Stormy,17,2,0.43,7.1,374.0
Bashundhara / Jamuna FP,Kuril / Kuratoli (AIUB),CNG,Regular,17,1,0.77,1.1,146.0
Naya Bazar,Gulshan 2,Car,Rainy,22,3,0.56,11.4,644.0
Badda,Bashundhara / Jamuna FP,CNG,Regular,5,6,0.56,5.1,275.0
Naya Bazar,Rajlakshmi,Car,Regular,23,5,0.89,23.3,1018.0
Airport,MES,CNG,Sunny,1,0,0.96,5.1,269.0
Matsya Bhaban,Mohakhali Bus Terminal,CNG,Rainy,21,1,0.87,5.9,356.0
Dhanmondi 27,Satrasta,Bike,Sunny,8,0,0.29,3.6,137.0
Asad Gate,Jatrabari,Car,Rainy,14,2,0.94,11.9,687.0
Nabisco,Mirpur 12,CNG,Stormy,14,5,0.54,9.4,621.0
Dhanmondi 27,Gulistan,Bike,Sunny,17,5,0.53,7.3,251.0
Khilgaon Flyover,Sayedabad Bus Terminal,Car,Rainy,21,0,0.35,4.4,291.0
Abul Hotel,Shahjahanpur,CNG,Sunny,10,3,0.29,3.4,238.0
Khilgaon Flyover,Jatrabari,Car,Regular,5,6,0.83,5.7,304.0
MES,Dhanmondi 15/32,Bus,Rainy,10,4,0.207,10.1,58.0
MES,Azampur,Bike,Sunny,18,2,0.5,10.4,320.0
Shyamoli,Abdullahpur,CNG,Sunny,21,4,0.83,18.4,639.0
Malibagh Chowdhury Para,Badda,Car,Rainy,10,0,0.58,5.1,525.0
Press Club,Naya Bazar,Car,Stormy,17,6,0.48,2.0,309.0
Kakali (Banani),Mirpur 1,Bus,Sunny,5,5,0.141,5.6,43.0
Chairman Bari,Chandpur,CNG,Rainy,19,5,0.22,90.3,6982.0
Asad Gate,Mazar Road,Rickshaw,Rainy,21,4,0.95,5.0,198.0
Merul Badda,Mirpur 11,Car,Sunny,13,3,0.62,10.9,447.0
Azimpur / Palashi,Mirpur 11,Car,Rainy,10,0,0.43,12.7,1146.0
Shishu Mela,Merul Badda,Car,Rainy,22,3,0.71,10.0,574.0
Airport,Jashimuddin (Uttara),Car,Rainy,8,4,0.17,3.8,352.0
City College / Science Lab,Mirpur 10,Bus,Sunny,3,0,0.11399999999999999,10.3,65.0
Asad Gate,Amtoli (Mohakhali),Bus,Stormy,0,3,0.033,6.5,53.0
Mirpur 1,Rajlakshmi,Bus,Regular,10,0,0.072,12.0,83.0
Jashimuddin (Uttara),College Gate,Car,Sunny,1,2,0.93,16.7,695.0
Mirpur 14,Airport,Bus,Stormy,20,1,0.24899999999999997,5.8,55.0
Mirpur 2,Paltan,Bus,Regular,1,3,0.039,12.1,83.0
Malibagh Railgate,Technical,Bike,Sunny,8,3,0.78,9.9,315.0
Rajarbagh,Mirpur 2,CNG,Rainy,17,6,0.31,12.4,1028.0
Jahangir Gate,Dhanmondi 15/32,Bus,Stormy,21,3,0.11399999999999999,4.8,52.0
Rajarbagh,Satrasta,Bus,Rainy,22,2,0.141,6.7,43.0
Kalabagan,Shishu Mela,Bus,Rainy,8,6,0.216,3.7,48.0
Darussalam,Satrasta,Bus,Rainy,18,1,0.051000000000000004,4.9,45.0
Mirpur 14,Jahangir Gate,Bike,Stormy,12,0,0.99,6.4,257.0
Matsya Bhaban,Kuril / Kuratoli (AIUB),Bus,Sunny,2,6,0.23399999999999999,12.3,80.0
Mugda,Press Club,Bus,Rainy,20,5,0.252,4.5,48.0
Merul Badda,Mugda,Bus,Sunny,19,1,0.048,6.8,71.0
City College / Science Lab,Gulshan 2,Car,Regular,5,5,0.34,9.3,441.0
Chandpur,City College / Science Lab,Car,Rainy,18,1,0.97,84.9,7124.0
Ray Saheb Bazar,Badda,Bus,Regular,3,1,0.159,12.0,67.0
Azimpur / Palashi,Kochukhet,Bike,Stormy,17,5,0.78,9.6,501.0
College Gate,Cantonment (Radisson),Bike,Rainy,5,5,0.92,8.0,273.0
Kochukhet,Gulistan,Bus,Rainy,23,1,0.075,10.8,54.0
Kochukhet,Cantonment (Radisson),Rickshaw,Stormy,12,2,0.59,1.4,103.0
Sainik Club / Banani Railgate,Notun Bazar,Car,Sunny,6,3,0.36,5.8,266.0
Kalyanpur,Gulistan,Bus,Regular,2,5,0.264,10.7,67.0
Jashimuddin (Uttara),Mirpur 10,Bus,Regular,4,5,0.045,9.9,79.0
Farmgate,Mirpur 2,Bike,Sunny,3,4,0.5,7.0,147.0
Shahbagh,Shishu Mela,Bike,Rainy,12,0,0.33,5.8,198.0
Jahangir Gate,Jagannath University,CNG,Sunny,21,4,0.27,11.4,399.0
Cantonment (Radisson),Jahangir Gate,Bike,Stormy,1,6,0.13,4.8,183.0
Gulshan 2,Naya Bazar,CNG,Sunny,0,0,0.65,11.4,490.0
Kalyanpur,Press Club,CNG,Sunny,16,0,0.95,9.5,397.0
Mirpur 10,Malibagh Chowdhury Para,CNG,Stormy,5,0,0.16,11.9,834.0
Sayedabad Bus Terminal,New Market / Nilkhet,Car,Regular,17,1,0.82,6.7,535.0
Badda,Darussalam,Bus,Sunny,16,3,0.048,11.1,63.0
Malibagh Railgate,Kuril / Kuratoli (AIUB),CNG,Stormy,15,5,0.21,10.4,664.0
Gulshan 1,Badda,Rickshaw,Regular,14,5,0.83,4.0,143.0
Gulistan,Malibagh Chowdhury Para,Rickshaw,Sunny,2,4,0.17,4.5,133.0
Gulshan 2,Kamalapur,Bus,Sunny,22,0,0.174,9.1,50.0
Dhanmondi 27,Badda,CNG,Sunny,2,0,0.66,11.4,500.0
Amtoli (Mohakhali),House Building,CNG,Regular,2,3,0.25,15.2,684.0
Azampur,Khilkhet,Bike,Sunny,0,3,0.59,8.1,200.0
Badda Link Road,Darussalam,Car,Rainy,11,2,0.48,10.7,591.0
Pallabi,Naya Bazar,Bus,Sunny,6,0,0.216,16.3,73.0
Dhanmondi 27,Mazar Road,Bike,Rainy,10,6,0.19,6.2,302.0
MES,Cantonment (Radisson),Bus,Rainy,15,2,0.066,1.1,10.0
Agargaon (IDB Bhaban),Kalyanpur,Bus,Regular,23,6,0.048,2.8,27.0
Kakali (Banani),Jagannath University,CNG,Sunny,19,1,0.88,13.1,782.0
Pallabi,Chairman Bari,Bike,Regular,14,4,0.27,7.3,150.0
Jagannath University,Jatrabari,Car,Sunny,0,3,0.21,4.3,219.0
Jatrabari,Merul Badda,Bike,Regular,21,2,0.86,10.2,238.0
Khilkhet,Shyamoli,Car,Sunny,15,0,0.45,12.2,487.0
Malibagh Chowdhury Para,College Gate,Car,Regular,0,0,0.84,9.0,422.0
Kalabagan,Rajarbagh,Bike,Regular,12,2,0.19,7.2,173.0
Kalabagan,High Court,Rickshaw,Regular,22,4,0.46,4.3,115.0
Agargaon (IDB Bhaban),Pallabi,CNG,Rainy,23,6,0.46,6.7,446.0
Darussalam,Airport,Bus,Rainy,23,4,0.051000000000000004,10.4,57.0
Mirpur 14,Kalabagan,Bus,Rainy,0,0,0.066,11.6,77.0
Azampur,Jagannath University,Bus,Sunny,0,0,0.081,26.0,133.0
Mazar Road,Gulistan,Bus,Regular,0,1,0.243,12.1,68.0
Shahjahanpur,Kalabagan,Bike,Sunny,2,1,0.63,5.8,171.0
Kochukhet,Kuril / Kuratoli (AIUB),Car,Rainy,21,2,0.51,5.6,356.0
Mirpur 2,Farmgate,Bus,Rainy,4,0,0.108,7.0,53.0
Bashundhara / Jamuna FP,Kochukhet,Rickshaw,Rainy,5,3,0.85,4.6,213.0
Sayedabad Bus Terminal,Kalabagan,Bike,Regular,3,0,0.67,8.3,209.0
Kakali (Banani),Jatrabari,Bike,Rainy,13,2,0.67,13.3,371.0
Kochukhet,Press Club,CNG,Rainy,23,0,0.84,9.8,605.0
Amtoli (Mohakhali),Technical,Bus,Rainy,18,4,0.22499999999999998,6.2,47.0
Shahjahanpur,Gulshan 2,Car,Regular,12,1,0.84,6.7,320.0
Nabisco,College Gate,CNG,Rainy,17,0,0.21,4.3,424.0
Dhanmondi 27,Mazar Road,Car,Sunny,4,6,0.7,6.2,300.0
Press Club,Notun Bazar,CNG,Rainy,15,6,0.66,10.5,577.0
Karwan Bazar,Mohakhali Bus Terminal,Car,Sunny,15,0,0.86,4.5,219.0
Ray Saheb Bazar,Middle Badda,Bus,Rainy,12,4,0.054,11.0,55.0
Sayedabad Bus Terminal,High Court,Rickshaw,Rainy,23,3,0.23,4.3,177.0
Kakali (Banani),Badda,Bike,Rainy,4,5,0.89,5.2,199.0
Darussalam,Airport,Car,Sunny,12,0,0.49,10.4,415.0
Azimpur / Palashi,Gulshan 2,Bus,Regular,23,1,0.069,10.1,61.0
Amtoli (Mohakhali),Khilgaon Flyover,Car,Rainy,11,3,0.2,6.0,356.0
Kamalapur,Jahangir Gate,CNG,Regular,8,5,0.35,8.8,598.0
Mirpur 11,Rajarbagh,CNG,Sunny,12,4,0.39,14.2,499.0
Ray Saheb Bazar,Maniknagar,CNG,Sunny,7,2,0.26,4.6,208.0
Matsya Bhaban,Merul Badda,Car,Sunny,6,1,0.77,7.3,311.0
Mirpur 10,Ray Saheb Bazar,Bike,Rainy,18,2,0.63,15.3,629.0
Merul Badda,Mohakhali Bus Terminal,Car,Regular,15,3,0.34,3.9,204.0
Abul Hotel,Agargaon (IDB Bhaban),Bus,Sunny,21,3,0.159,7.4,46.0
Shahjahanpur,Dhanmondi 27,CNG,Sunny,13,5,0.62,6.9,291.0
Darussalam,City College / Science Lab,Bike,Regular,0,5,0.61,7.3,202.0
Mirpur 11,Satrasta,Car,Rainy,18,2,0.83,8.1,761.0
Jahangir Gate,Kalyanpur,Car,Rainy,13,3,0.25,2.5,183.0
City College / Science Lab,Paltan,Bike,Regular,19,3,0.11,4.9,197.0
Karwan Bazar,Press Club,Bike,Rainy,21,0,0.89,4.0,155.0
Jahangir Gate,Merul Badda,CNG,Sunny,6,0,0.58,7.8,332.0
Rampura Bridge,MES,CNG,Rainy,15,4,0.4,8.5,439.0
Gulshan 2,Kochukhet,Car,Regular,9,1,0.67,2.8,271.0
Cantonment (Radisson),Satrasta,Car,Rainy,12,4,0.71,5.9,324.0
Nabisco,MES,Bus,Sunny,17,3,0.258,6.0,47.0
Farmgate,Mazar Road,Car,Regular,17,0,0.59,6.0,458.0
Kochukhet,Dhanmondi 27,CNG,Rainy,11,2,0.27,7.7,424.0
MES,Paltan,Bus,Regular,3,5,0.267,11.8,69.0
Mirpur 1,Cantonment (Radisson),Rickshaw,Sunny,21,5,0.85,4.9,125.0
Matsya Bhaban,Rampura Bridge,Car,Sunny,23,6,0.86,5.5,269.0
City College / Science Lab,Asad Gate,Bike,Sunny,3,0,0.37,3.2,108.0
Satrasta,Bangla Motor,Bike,Regular,22,4,0.7,2.7,96.0
Mirpur 12,Gulshan 2,Bike,Rainy,10,6,0.95,8.6,396.0
Kalabagan,Khilkhet,Bus,Sunny,5,5,0.23099999999999998,14.4,91.0
Badda,Paltan,CNG,Rainy,15,6,0.45,8.6,482.0
House Building,Shahbagh,Bus,Rainy,2,3,0.273,21.3,114.0
Shahjahanpur,Middle Badda,CNG,Rainy,9,0,0.3,5.3,492.0
Chairman Bari,Mirpur 11,Car,Sunny,15,0,0.83,6.7,295.0
Cantonment (Radisson),Shishu Mela,Car,Regular,0,6,0.1,7.7,377.0
Kakali (Banani),Mirpur 14,Bus,Stormy,21,3,0.11399999999999999,6.4,33.0
Abul Hotel,Jahangir Gate,CNG,Stormy,14,5,0.5,7.7,521.0
Darussalam,Kochukhet,Bike,Regular,8,0,0.23,4.8,180.0
College Gate,Kakali (Banani),Bus,Rainy,22,2,0.105,7.5,42.0
Sayedabad Bus Terminal,Pallabi,Bus,Stormy,10,1,0.237,17.9,124.0
Jashimuddin (Uttara),Satrasta,Bus,Rainy,11,4,0.036,15.5,79.0
Azampur,Karwan Bazar,Car,Sunny,20,5,0.12,18.8,1186.0
Amtoli (Mohakhali),Kamalapur,CNG,Sunny,8,4,0.12,7.5,425.0
Agargaon (IDB Bhaban),House Building,Bus,Regular,12,6,0.258,15.4,80.0
Darussalam,Dhanmondi 27,CNG,Sunny,21,4,0.35,5.5,212.0
Sayedabad Bus Terminal,Kalabagan,Bus,Sunny,17,3,0.22799999999999998,8.3,59.0
Malibagh Railgate,Notun Bazar,Bike,Sunny,22,3,0.78,6.8,170.0
Mirpur 14,Mirpur 11,Bike,Rainy,9,1,0.32,1.1,91.0
Paltan,Bashundhara / Jamuna FP,Bike,Regular,19,2,0.47,12.0,399.0
Mirpur 14,Kochukhet,Car,Sunny,17,2,0.32,5.1,373.0
Mirpur 1,Kuril / Kuratoli (AIUB),Car,Sunny,14,5,0.41,9.0,367.0
Mazar Road,Cantonment (Radisson),Car,Regular,11,2,0.5,5.4,284.0
Rajlakshmi,Shyamoli,Bus,Rainy,0,2,0.12,16.0,96.0
Farmgate,Airport,Bus,Sunny,14,2,0.282,12.9,56.0
College Gate,Pallabi,Car,Sunny,15,0,0.29,9.0,363.0
Press Club,Azampur,Bike,Rainy,22,0,0.32,22.4,577.0
Rajarbagh,Middle Badda,Bike,Regular,22,2,0.23,6.1,149.0
